Título Artículo,Nombre Revista Científica,Resumen,Año
"Impact of public policies of science, technology and innovation on competitiveness, as part of a strategy for the management of innovation in the TIC sector of the Municipality of Medellín (Colombia) [Impacto de las políticas públicas de ciencia, tecnología e innovación en la competitividad, como parte de una estrategia para la gestión de la innovación en las empresas sector TIC del Municipio de Medellín (Colombia)]",Espacios,"This article shows the results obtained from the research entitled ""Impact of public policies on science, technology and innovation in competitiveness, as part of a strategy for the management of innovation in companies ICT sector (information technology and telecommunications), Of the Municipality of Medellín ""as a case study. In this sense, information relevant to the efforts made in this area in recent years is shown and how these have been implemented and incorporated into the innovation capacities of companies, in order to guide the decision-making of government entities, for the feedback of public policies in a context of prioritization of limited resources and the identification of effective instruments to evaluate the impact of public policies and their design. © 2017.",2017
"Clustering, innovation and hotel competitiveness: evidence from the Colombia destination",International Journal of Contemporary Hospitality Management,"Purpose: This paper aims to explore the relationship between clustering and hotel competitiveness in emerging economy destinations by analyzing potential mediation of the management innovations implemented. Design/methodology/approach: This empirical study is based on hotel-level information from a survey including 131 hotels in 2014. Colombia was chosen as a representative of Colombia, Indonesia, Vietnam, Egypt, Turkey and South Africa (CIVETS) emerging destinations. The relationships were analyzed by structural modeling and partial least squares. Findings: Clustering has a positive direct impact on hotel competitiveness and innovation, and there is a positive effect of innovation on competitiveness. Therefore, the link between clustering and competitiveness is partially mediated through implementation of management innovations. Practical implications: Hotels should actively participate in agglomerated destinations and build relationships with established firms by clustering. Interaction with related firms and implementation of management innovations will lead to increased levels of economic competitiveness. Public policymakers should foster collaborative strategic networking in the hospitality industry of emerging economy destinations. Originality/value: This paper focused on separating the direct and indirect effects of clustering on hotel competitiveness. Implementation of management innovations was considered as an outcome derived from clustering in emerging tourist destinations, using the example of Colombia. Clustering stimulates and eases management innovations within the location, and that combination reinforces the role that cooperating while competing plays in hotel competitiveness for destinations with lagging innovation. © 2017, © Emerald Publishing Limited.",2017
"Strategic orientation and strategies to manage organisational knowledge and creativity [Orientación estratégica, estrategias de gestión del conocimiento y creatividad organizacional]",Academia Revista Latinoamericana de Administracion,"Purpose: The purpose of this paper is to analyse the direct effects of strategic orientation in innovation and competition on personalisation and codification type knowledge management (KM) strategies and their organisational creativity. Design/methodology/approach: The authors counter-checked the hypothesis model with a sample of 169 companies in emerging markets that adopt technology: a country such as Colombia. To do so, the authors used structural equations with the least squares model. Findings: The data indicate that both KM strategies positively influence creativity; however, personalisation has a greater effect. Additionally, SG for innovation has a positive effect on both KM strategies; however, for competition, KM only has an influence on codification. Originality/value: The relation between KM strategies and creativity has been approached on a strictly theoretical level; therefore, this paper provides empirical evidence on the subject. It also establishes the direct effect that SG has on KM strategies, which have so far only been tangentially analysed. In so doing, it goes further than the limitations in the literature regarding analysis of the KM-creativity relationship, but it does not consider business strategy implications. © 2017, © Emerald Publishing Limited.",2017
Strategic direction: Projection of technological innovation and administrative management in small enterprises [Direccionamiento estratégico: Proyección de la innovación tecnológica y gestión administrativa en las pequeñas empresas],Informacion Tecnologica,"The main objective of this research is to establish the level of innovation in technology and strategic direction of small and medium size enterprises (SMEs) in the city of Barranquilla, Colombia. For this purpose, a descriptive research was carried out, using a data collection technique, which analyzed six variables that determined the size of the company in terms of number of workers, the type of innovative activities they implement, the budget that invest in technology, the preferences in the area in which they innovate and the existing relationships between what they invest and the technological innovations carried out in a sample of ten companies of the city. The results of this exercise show that more than half of the companies belonging to the sample are medium-sized enterprises, and only 40% of them develop activities focused on technological innovation, preferably involving marketing and design actions, investing quantities that are reflected in the organizational development.",2017
Knowledge management on R+D groups: An approach to the human capital components [Gestión del conocimiento en grupos de I+D: Un enfoque basado en los componentes del capital humano],Revista Lasallista de Investigacion,"Introduction: Knowledge management on R+D groups in Colombian Public Universities is based on the human capital's strength involved in the company's work dynamics; in this sense, to integrate theoretical and epistemological basis derive from theories of Tinoco & Soler (2011); Cabello et al. (2010); Meleros & Palomera (2010); Riescos (2006) and Bueno (2003). Objective. To describe the knowledge management on R+D groups in Colombian Public Universities. Methods and materials. A descriptive, non- experimental, study with on field design. It also uses the survey as a technique, and a scalar Likert type questionnaire, applied to researchers of R+D groups as an instrument. A test population was constituted by four R+D groups of public universities, Uniguajira, Magdalena, Popular del Cesar and Antioquia from Colombia. The whole referenced population was approached; therefore, we used the population census. Arias (2006). Results. Results were analyzed using descriptive statistics. The main results were: first, researchers' experiences, that positively influence on the productivity of the research group; second, the knowledge, result of continuous training programs that forms researchers, and third the creativity and innovation, because only 50% of researchers provide new ideas and are satisfied with innovation program policies. Conclusion. With this research, we contributed to strengthen Colombian public universities R+D groups, their continuing training programs, policies and innovation programs that increase creativity and innovation in researchers.",2017
"Culture of innovation and endogenous development in the management of universities in Santa Marta, Colombia [Cultura de innovación y desarrollo endógeno en la gerencia de las universidades en Santa Marta, Colombia]",Espacios,"This article aims to analyze the culture of innovation and endogenous development in the management of universities in Santa Marta, Colombia. The methodology used was under the paradigm of positivist, nonexperimental, transectional, descriptive and field research. As a tool for data collection, a questionnaire was used with 48-item Likert responses validated by seven experts in the area. The results of this research indicate that endogenous development is the spiritual force in university management which takes culture and technology as support for a process of economic growth and structural change. It is also inferred that among the aspects of the innovation culture in university management, the corporate style adopted by management facilitates the exchange of ideas among employees, recognizes innovative employees allowing them to develop their leadership skills.",2017
Foresight exercise of the health sector for Panama in the year 2040 [Ejercicio prospectivo del sector de la salud para Panamá al año 2040],Espacios,"The City of Knowledge Foundation (CoKF) of Panama has raised the need to use foresight as a strategy for identifying technological and innovation opportunities in priority issues (Water management, Education and Health) for Panamanian society on the horizon year 2040. This article presents the results of the consultancy-conducting foresight workshops developed for the HEALTH issue by the multinational team composed of experts from the IALE Company Technology (Spain - Chile), Universidad Pontificia Bolivariana and the University Medellin (Colombia). The objective of the consultancy has been apply the appropriate methodologies for the conducting of foresight workshops, according with the issues previously identified and with the participation of experts in HEALTH issue gathered by the FCDS. The knowledge generated during the workshops have identified the most relevant to Panama innovative technological applications for the issue of HEALTH, in which the converging or emerging technologies (NIBC: Nano, Info, Bio and Cogno) affect in special way. © 2017. revistaESPACIOS.com.",2017
Foresight analysis of the water sector for Panama to the year 2040 as a strategy for the identification of technological and innovation opportunities [Análisis prospectivo del sector del agua para Panamá al año 2040 como estrategia para la identificación de oportunidades tecnológicas y de innovación],Espacios,"The City of Knowledge Foundation (CoKF) of Panama, has raised the need to use foresight as a strategy for identifying technological and innovation opportunities in priority issues (Water management, Education and Health) for Panamanian society on the horizon year 2040. This article presents the results of the consultancy-conducting foresight workshops developed for the WATER MANAGEMENT issue by the multinational team composed of experts from the IALE Company Technology (Spain - Chile), Universidad Pontifícia Bolivariana and the University Medellin (Colombia). The objective of the consultancy has been apply the appropriate methodologies for the conducting of foresight workshops, according with the issues previously identified and with the participation of experts in WATER MANAGEMENT issue gathered by the FCDS. The knowledge generated during the workshops have identified the most relevant to Panama innovative technological applications for the issue of WATER MANAGEMENT, in which the converging or emerging technologies (NIBC: Nano, Info, Bio and Cogno) affect in special way. © 2017. revistaESPACIOS.com.",2017
"Relationship between practices of improvement engineering and sales of micro, small and medium enterprises [Relación entre las prácticas de ingeniería del mejoramiento y las ventas en las micro, pequeñas y medianas empresas]",Espacios,"This paper shows the results of a research about the relationship between the implementation of improvement engineering practices in management of production systems and the sales increase of MSMEs in the cluster textile, apparel, design and fashion in the área Metropolitana del Valle de Aburrá (Colombia). Six hypotheses were tested using correlational analysis. The sales increase has a strong positive relationship with quality management tools and logistics operations management and a weak positive relationship with innovation and product development management tools, programming and quality control in production, continuous improvement tools and lean manufacturing tools. © 2017.",2017
Financial inclusion in Colombia: A scoping literature review,Intangible Capital,"Purpose: The paper provides an extensive, comprehensive and up-to-date qualitative scoping literature review of financial inclusion and other related concepts, and focuses in particular on the Colombian context, and the accessibility as well as barriers to banking services. It structures the themes and dimensions of scholarly debates on financial inclusion in the literature highlighting avenues for future research to fill various gaps. Design/methodology: This scoping literature review rigorously identifies the most relevant research and variables pertaining to financial inclusion and social innovation. Findings: Based on a scoping literature review, a comprehensive framework of key concepts of financial inclusion, scholarly contributions, countries and variables is presented. Research limitations/implications: Owing to the methodological approach of this paper and its rather theoretical nature, this research seeks to enrich scientific debates pertaining to the empirical data displayed, especially on the case of Colombia. Practical implications: The most central variables that are linked to the theme of financial inclusion are explored, and hence this paper forms a basis for future qualitative and quantitative studies. Social implications: This research article contributes to public policy making on financial inclusion aimed at reducing levels of socio-economic inequality. Originality/value: In business and management research a degree of conceptual confusion prevails on the theme of financial inclusion. This paper attempts to clarify different types of variables and one country specific case to provide more solid analytical tools for scholars and analysts.",2017
"Influence of management in innovation management under the technical standard Icontec NTC 5801 [Influencia de la gerencia en la gestión de la innovación, bajo la norma técnica Icontec NTC 5801]",Espacios,"The subject that is discussed in this research article shows a relevant importance for the businessmen of the Department of Quindío - Colombia, since it seeks to identify whether management has a positive or negative influence on the innovation processes that they handle or think Handle, taking as standard document the standard NTC5801. This research seeks to inform a selected group of businessmen from the city of Armenia, terms and concepts of Innovation and duly substantiated management, and thus able to handle clearly and concisely the influence that management can come to have in the addressing and implementation of innovation within the organization against which seeks to manage the NTC 5801. © 2017.",2017
Knowledge management and innovation in SME exporting industrial sector of Colombia [Gestión del conocimiento e innovación en las PYME exportadoras del sector industrial en Colombia],Espacios,"This article aims to analyze the relationship between knowledge management and identification of opportunities to innovate in industrial exporting SMEs in the Atlantic Department. It has a quantitative approach, descriptive scope, non-experimental cross-sectional design. We surveyed 39 managers selected with simple random sampling. It uses dispersion measures, location, and correlation coefficients. Evidence that the strategies of knowledge management are developed without theoretical foundations of organizational learning, TIC, and Intellectual Capital. It concludes that its articulation, supports innovation. © 2017.",2017
Technological and innovative profile of a Colombian company of the commercial sector [Perfil tecnológico e innovador de una empresa Colombiana del sector comercial],Espacios,"This article presents the technological and innovative profile of a small Colombian company in the commercial and distribution sector. For the accomplishment of the same, a micro culture was made on the latest findings and trends in the commercial sector in Colombia and the world. Later, a diagnosis of innovation was made, using a tool that has been used in more than 700 companies both nationally and internationally. The obtained results, allowed detecting opportunities of improvement for the company with respect to the innovation and the technology. The main results include the need to improve the processes of technology management and innovation in the company, including the generation of ideas, processes and communication, among others. © 2017.",2017
"Interactivity in Latin American digital journalism. An analysis of the main digital media of Colombia, Mexico and Ecuador (2016)",Revista Latina de Comunicacion Social,"Introduction: Latin America, in general terms, is a continent with several contextual levels, which depend on historic, economic, political and social characteristics. Despite all this, there are aspects -such as digital divide- that occur again, to a greater or lesser extent, in the different Latin American countries. This digital divide promotes partially disconnected -and thus, invisible- societies, and tends to slow down possibilities of innovation and development of digital journalism. Methodology: In this study, and from the methodology proposed by Rodríguez, Codina & Pedraza (2012), we have analysed the management of interactivity in the main digital media in Mexico, Colombia and Ecuador in 2016. Results and conclusions: The results show a generally low implementation of interactivity options in digital ecosystems in these three Latin American countries. © 2017, University of La Laguna. All rights reserved.",2017
Measurement in the industry of SMEs metalworking of Bogota about effective use of Concurrent Design (CD) for product design [Medición del nivel de uso efectivo del Diseño Concurrente para el diseño de productos en la industria de las PYMES metalmecánicas de Bogotá],Espacios,"This article presents the performance evaluation of the product design process, using the means of assessing the level of use of concurrent design (DC) in the metalworking sector SMEs Bogota (Colombia). The theoretical investigation of the DC allows set as variables of the project: five (5) business dimensions and twenty (20) key factors. The study is set at the level of use of the method of DC in product development processes in these companies under, validating the assumptions made regarding the level of use of the key factors in this process DC. © 2017.",2017
Approach to differences in product and process innovation capabilities and financial performance in manufacturing companies,Espacios,"The purpose of this article is to explore the differences in product and process innovation capabilities (ICs) and financial performance (FP) in manufacturing companies in Colombia. In the methodology, a cluster analysis was performed which identified three groups of companies with similar characteristics: innovators, explorers and stragglers. An analysis of variance (ANOVA) was also performed to establish meaningful differences in the means. The results show that for product ICs there are significant differences in the development of routines aimed at developing environmentally friendly products and improvements in design. Meanwhile, for processing ICs there are significant differences with regard to the incorporation of basic but essential business technologies and the management of interrelated technologies. However, for financial performance differences are significant in terms of sales growth and increased market share. In conclusion, the development of product and process ICs does not guarantee better results in sales growth and market share compared with smaller companies that have made less of an effort to consolidate such routines. This is probably due to other organizational capabilities that may be more decisive in the commercial success of products. © 2017.",2017
Dynamics simulation model for evaluating the investment in technological innovation in the capabilities of Colombia Software industries [Modelo de simulación dinámica para evaluar la inversión en capacidades de innovación tecnológica en la Industria Colombiana de Software],Espacios,"In Colombia, the Software Industry and Communication Technologies are considered a World-Class sector, and it is expected to be an economic booster. So far, this industry has performed from moderate to dynamic growth due to the strengthening of capabilities. This paper evaluates a number of combination of governmental policies such as investment in innovation capabilities as R&D, marketing and strategic management. We perform such evaluation using a System Dynamic Model through scenario analysis. We observe that a combination of such variables have positive feedback with the increase of investment level in the capabilities. © 2017.",2017
Non-technological innovations: Market performance of exporting firms in South America,Journal of Business Research,"Innovation plays a key role in the economic growth of companies, sectors, and countries, sparking widespread interest in innovation research. Based on innovation literature, the present research seeks to validate the influence of innovation on the performance of exporting firms in emerging economies. This study contributes to research in the field of strategic innovation management and to practice in the design of public policy and exporting firm strategy, especially in emerging economies such as those in Latin America. The authors analyze the effects of organizational and marketing innovations (non-technological innovations) on the market performance of exporting firms through data collected in firms in fast growing South American emerging economies—Colombia, Peru, and Chile—with a final sample of 299 completed surveys and test hypotheses with Structural Equation Modeling (SEM). The results show that organizational innovations (new or improved organizational methods) have more influence on market performance than marketing innovations. These findings confirm the importance of innovative performance as a mediator between organizational innovation and market performance. © 2016 Elsevier Inc.",2016
Effect of innovation on growth and performance of SMES in the Pacific Alliance. An empirical study [Efeito da inovação no crescimento e no desempenho das MPMEs da Aliança do Pacífico. Um estudo empírico] [Efecto de la innovación en el crecimiento y el desempeño de las Mipymes de la Alianza del Pacífico. Un estudio empírico],Estudios Gerenciales,"This paper analyzes the effect of innovative activity on the growth and performance of MSMEs in the countries of the Pacific Alliance (PA). In order to do it, an empirical study with a sample of 386 companies from Chile, Colombia, Mexico and Peru was conducted. The methodology of multiple linear regressions by Ordinary Least Squares (OLS) was applied to verify the relationships observed. The results show that innovation in products, processes and management has a positive impact on the growth of employment and sales, also on profits. These results are particularly significant in PA's countries of and can help entrepreneurs, governments and academia to promote actions that encourage business innovation and competitiveness. © 2016 Universidad ICESI. Published by Elsevier España, S.L.U. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).",2016
"""Inn-Cumbe"": A model for socially responsible innovation management, proposed a study of case at the organizational level [""Inn-Cumbe"": Un modelo para la gestión de la innovación socialmente responsable, propuesto a partir de un estudio de caso a nivel organizacional]",Espacios,"Here is proposed &quot;Inn-Cumbe&quot;, a model for managing socially responsible innovation, based on a singular case study of an enterprise of the graphic sector in Colombia; for this, the stage-gate &#174; model is discussed, to finally propose a new approach, in which the socially responsible innovation is influenced by the intrinsic motivation and knowledge application; once proposal is conceptualized, is applied to a control group to define the model as a series of eight stages, where socially responsible innovation management, aims to contribute to organizational sustainability.",2016
Institutional evaluation in schools of barranquilla - Colombia since teacher's perspective [Evaluación institucional en escuelas de barranquilla - Colombia desde la perspectiva del docente],Revista de Ciencias Sociales,"The article allows us to understand the system of meanings and tensions that teachers of public education in Barranquilla - Colombia assign to institutional evaluation as a macroprocess within the framework of a quality educational policy. Are considered the factors that from the pedagogical practice dynamize or inhibit the evaluation process. Epistemologically based on introspective approach - experiential, interpretative paradigm and qualitative ethnographic vision; It methodological approaches a phase diagnostic and another of intervention, transcending of the reflection and construction collective to a flat of reinterpretation and conferring of meanings. Will applied interviews in depth and conformation of groups focal between actors representative. Them results stand out the importance of the evaluation institutional in the definition of the philosophy of management, takes of decisions and sense strategic, demonstrating an order disjointed of them mechanisms of address, control, tracking, in the flat of it political and in the mediation didactic. Is concludes about them imaginary collective on them categories studied, noting gaps between the component theoretical-normative of them plans and its concretion, may be reflection of models mental that not leave greater freedoms for the reflection, creation e innovation educational.",2016
R & D + i TEAMS. Bases for the development of teams of R & D + i in companies from Quindio - Colombia [EQUIPOS DE I+D+i. Bases para el desarrollo de equipos de I+D+i en empresas del Departamento del Quindío - Colombia],Espacios,"This paper describes a model for the formation of teams or units of R & D + i in companies and institutions to serve as the basis for the dynamisation of R & D + i, the main objective of the document is to provide guidance for development activities forming teams or units of R & D + i, and serve as a basis for R & D organizations, including Quindio Innova project in Colombia. The methodology used comprised three phases, phase 1 were revised sources such as the AENOR UNE 166002, the Colombian Technical Standard NTC 5801 and aspects suggested by the CDT Technological Development Corporation of Chile, Phase II materialized through four stages: the first involves the commitment of top management, communication to members of the company on the R & D + i, designation of team leaders, implementation of workshops on issues and project initiatives, opportunities related to R & D + from environmental analysis, monitoring of technological lookouts, in the second phase the objectives, functions and structure of the R + D + i are defined from the opportunities identified in the workshops and training and self-diagnostic capabilities applied in management of R & D + i, stage 3 includes the transfer of knowledge on tools for calculating the inflection point in models S-curves in the life cycle of technology as well as the procedure for specialized patent databases European data search, Japanese, German and WIPO -World intellectual property and scientific articles in Scopus, the fourth stage provides for the participation in technological surveillance exercises that can generate useful results to new equipment or units of R & D + i. Finally, Phase III was carried out through the application of the model generated in two companies Pilot software-technology and manufacturing sector. As for companies in the manufacturing and software industry - technology, the percentage of organizations that do not have drive R & D + i is 87.5% and 77.5% respectively, these organizations have deficiencies in factors such as conducting technological surveillance studies, open innovation processes, absorptive capacity and implementation of innovation management models that allow units successfully develop R & D + i, as pilots, are highlighted in the results execution of victories in the short term, what captivates the entrepreneur and motivate the team, likewise, entrepreneurs highlight the process that are oriented towards the generation of ideas by different members of the organization and the analysis of the environment with a better outlook for the generation of innovations in the company is obtained.",2016
Innovation management in small and medium enterprises of Barranquilla-Colombia [Gestión de la innovación en pequeñas y medianas empresas de Barranquilla - Colombia],Revista de Ciencias Sociales,"The evolution of global trends characterized by economic, social and political openness, driving innovation management as a dynamic hub for the competitiveness and sustainability of small and medium Colombian enterprises (SMEs). This article aims to describe the management of innovation in small and medium enterprises in the service sector in the city of Barranquilla. The focus was quantitative with a type descriptive, cross-sectional research, using as a technique for data collection, application of a structured questionnaire to one intentional and probabilistic sample of 80 companies in the services sector. The results show that 50% of SMEs Innovation is associated with the development of new products and services, there being a responsible person who manages and allocates tasks based on your criteria and market requirement. It was concluded that innovation management requires clearly defined processes and planned in relation to the inclusion of the same innovation in administrative practices, aspect that leads to a major upgrade and professionalize responsible managers, and staff that composes.",2016
The management biotech to promote innovation. Limitations and scope [Gerencia agrobiotecnológica para promover la innovación. Limitaciones y alcances],Opcion,"This product is the partial result of the project: “Management biotech for the Department of Magdalena Colombia”. a systematic review of the literature where the characterization of the situation problem associated with the need to create for the Colombian agribusiness sector, specifically for the Department of Magdalena, a management model that approximates historical, conceptual, theoretical and operationally arises is done the resolution of the main challenges, constraints and threats detected from the theory and praxis. In this first phase of doctoral research the main limitations and scope of the biotech management to promote innovation were identified. © 2016, Universidad del Zulia. All rights reserved.",2016
Knowledge management and business activity in Colombia [Gestión del conocimiento y actividad empresarial en Colombia],Revista de Ciencias Sociales,"This article presents an analysis of the relationship between knowledge management activities and operative-financial business results gathered between 2008 and 2012, in 128 Colombian large and medium businesses from different economic sectors. The type of study is descriptive, of a correlational nature, for which information was obtained from 640 managers of the companies mentioned. The results indicate that a low percentage (27%) of companies comprehensively undertakes knowledge management and that from such administration only the activity of using knowledge has a direct and significant relationship with the companies' operative and financial outcome. It is concluded that the practice of knowledge management (KM) refers more to training people, the traditional role of management, than to training for creating knowledge that enables building differentiating capabilities and innovation by the business. This tendency of the analyzed companies to be traditional and conservative hinders their own ability to respond adequately to the challenges of the new increasingly globalized, competitive, changing and uncertain economic order.",2016
"Departmentalization and innovation at micro, small and medium enterprises of Colombia [Departamentalización e innovación en las micro, pequeñas y medianas empresas de Colombia]",Revista Venezolana de Gerencia,"The organizational structure is a subject of high academic interest because of its relationship with the strategy and other business aspects, so the aim of this work is to determine the impact of the departmentalization on innovation of micro, small, and medium enterprises in Colombia, specifically on products/services, processes, management and globally. To do that, an empirical, transversal and inferential study with linear regressions was conducted with 1201 managers of these organizations, who were asked about the number of departments and innovation in their firms. The results show the organizations studied in a medium level of departmentalization and confirm the positive impact of specialization in the structure on the different types of innovation analyzed (except for processes). It is concluded that the Academia and development agencies should support companies in their process of departmentalization, balancing costs and benefits. © 2016, Universidad del Zulia. All rights reserved.",2016
Analysis of the financial efficiency in BASC certified companies through data envelopment analysis: Evidence from Cali - Colombia,"Proceedings of the 27th International Business Information Management Association Conference - Innovation Management and Education Excellence Vision 2020: From Regional Development Sustainability to Global Economic Growth, IBIMA 2016","This research paper presents the assessment of the financial efficiency in BASC certified companies in Cali. We used the nonparametric approach Data Envelopment Analysis (DEA), specifically the CCR-O model, focused on outputs. As a source of information the data lying in the Superintendence of Companies in 2010 was used. As input variables, it was worked with: Subtotal of inventory, Total Current Assets, Plant and Equipment property and Suppliers, and as output variable, Operating Income. From BASC certified companies in Cali, the ones that presented the best performance in the analysis of the efficiency of logistic processes are: Ocupar Temporales S.A, Acción Del Cauca S.A, Grupo Empresarial Apparel Solutions Ltda, Acción S.A., Carvajal Internlf.acional S. A. The average efficiency of the business group studied was 33.95%. From the 42 BASC certified companies studied, only 5 had optimum efficiency. Copyright © 2016 International Business Information Management Association",2016
Conceptualization of knowledge management in medium and high complexity health institutions [Conceptualización de la gestión del conocimiento en instituciones de salud de mediana y alta complejidad],Revista de Salud Publica,"Objective To identify the familiarization, conceptualization and incorporation of employees of medium and high complexity health institutions in the Valle de Aburrá, Colombia into the strategic knowledge management platform in 2011. Methodology Cross sectional study. The study was carried out by applying surveys to 224 employees to assess knowledge management. The population included staff who working in the Health Providing Institutions (IPS) of high (52) and medium complexity (322) in the Valle de Aburrá in 2011. Results In both the public and private institutions surveyed, 38.8 % of the respondents said they were not familiar with knowledge management. Among those who had administrative training, the ignorance was less than among care workers. It was also noted that as the level of education increased, knowledge of the concept was greater. A high proportion (65.2 %) of respondents placed the concept in line with the creation, organization, storage, retrieval, transfer and application of knowledge systematically. 78.7 % of respondents from public institutions said that knowledge management was part of the strategic platform of the institution. 58.3 % from private institutions said the same. Conclusions In general terms the concept of knowledge management is not well conceived or familiar to the staff working in these institutions. The study confirmed a lack of empowerment in the field to promote the development of new ideas and to ensure that they become service innovations or processes that contribute to the development of institutional knowledge. © 2016, Universidad Nacional de Colombia. All rights reserved.",2016
Foresight study: Application of Delphi method in specialty coffees in Colombia to 2025 [Estudio de prospectiva: Aplicación del método Delphi en cafés especiales en Colombia al 2025],Espacios,"This article is the result of foresight study in specialty coffees in Colombia to 2025, which is part of the project ""Systematization and Knowledge Management for Antioquia project: Origin of Specialty Coffees"". The aim of the Delphi method was to identify and prioritize innovations, new business and diffusion strategies that were of importance in Specialty Coffees in Colombia. This study had consolidators on issues such as innovation, technology, new business and diffusion and marketing strategies. It is important to highlight that Delphi method was conducted in two rounds. Besides that, there were issues with consensus percentage between 50% and 75%. For example in innovations, seals combining marketing and fermentations controlled to induce sensory profiles coffee were made; in technologies: processes and benefit roasting profiles were the subjects of greater consensus. Additionally, in ""new business"", ecotourism and eco-organic products and new lines of business in the sector of specialty coffees were prominent. Also, the diffusion strategies that could be undertaken in the sector are clipping (media monitoring) and specialized databases. Finally, in common marketing code ""4Cs"" and system clean almonds are the most important.",2016
Determining factors in Colombian research groups' scholarly output [Factores determinantes en la producción científica de los grupos de investigación en Colombia],Revista Espanola de Documentacion Cientifica,"There is much debate about how knowledge-creating institutions -such as universities, research groups and centers- should be organized, as well as about the key processes of knowledge management to be applied by research groups and the financial, human and technological resources needed to achieve high performance in research. The current work, based on a theoretical review and empirical study, aims to determine the relationship of scholarly production results obtained by research groups affiliated with universities in Colombia in terms of the variables of organizational culture, knowledge management, and technological capital. For this analysis, a sample was obtained of 223 research groups that are recognized and categorized by the National Administrative Department of Science, Technology and Innovation (Colciencias, 2010). The data analyzed were obtained from a survey that measured the perception of leading researchers about such independent variables as university culture, knowledge management processes, and technological capital. The dependent variable of scientific production was analyzed based on the rating assigned to each group by Colciencias for research results obtained over a period of time. The statistical techniques used in this study are regression analysis and structural equation analysis by which it was determined that the following variables have a positive influence on the results of scholarly output: The motivating culture, process of outsourcing knowledge management, and technological capital. © 2016 CSIC.",2016
The SMEs' internationalization: Multicriteria-based priorization using fuzzy logic [Internacionalización de las PyMes: Priorización basada en multicriterios usando lógica difusa],Espacios,"Purpose. Develop a model based on a frame logic to quantify SMEs' internationalization by integrating linguistic variables such as human talent, infrastructure, innovation strategies, FTAs, marketing strategy and finance, among others. It is argued that the company management of international markets depends on internal factors, especially the capabilities and resources available, based on the premise that the profits made by a company depend on external factors (competitive environmental features) and internal factors (the integration of resources available), those latter are perhaps this research's biggest challenge, because it is required to propose a suitable battery of capabilities and define their importance and strategic relevance to building competitive advantages. Design/ Methodology/Approach. Fuzzy inference system is proposed to model the resources, skills and competencies that determine internationalisation success. Data: 157 linguistic variables are used, arisen from entrepreneurs, experts, consultants and researchers in international trade, and through expert judgment, 18 factors explaining export capabilities are defined. The proposed model is applied by means of a case study of the textile and clothing cluster in Medellin, Colombia. Findings. In model's implementing it got a particular global index of 28.2 for internationalisation capabilities. The result confirms the hypothesis that the capabilities and resources currently available to the sector analyzed, are not sufficient for a successful integration into the international market, and most importantly, specifies the factors and variables to intervene to improve the export's capability. Limitations. In the particular case of textile companies, is highlighted the lack of a continuous information record and very few studies directed towards the long-term plans development. Similarly, there is little consistency in the exports criteria. Originality/Value. Method emerges as an innovative management tool, linked to internal organizational spheres and their different abilities.",2016
Innovation capabilities. Measurement of Innovation capabilities in 460 companies of Quindío-Colombia [Capacidades de innovación. Medición de capacidades de innovación en 460 empresas de Quindío - Colombia],Espacios,"This article shows the results of the measurement of innovation capabilities in 460 organizations from various economic sectors of Quindío - Colombia. The methodology used was based on the application of a modified test of innovation capabilities, which contains six factors or axes related to innovation capabilities, the top five factors were: innovation strategy, deployment of the innovation strategy, innovation culture, innovation in the value chain, innovation results and a sixth and final factor control used related to the alignment of future studies; innovation strategy and a management innovation model, this was done in order to compare the results of the first factors. Data was obtained through statistical sampling of the total amount of companies of the Department, obtaining a value of 460 companies, which administered the test and the results were treated through descriptive statistics and a multivariable analysis of the score on the test; regarding the variables of each factor. Among the most significant results observed were the measurement of the first five factors that show an innovation capability between excellent and good; 52%. However, companies in the region scored negatively, totally or partially, in aspects related to the control factor; which concluded that 72% of the companies in the region do not ensure surveillance studies. 74% of the companies have not participated in open innovation processes, 80% do not count with an R+D+I unit, 71% of the same have not done foresight studies, 59% have nor formulated or implemented an innovation strategy; and 71% of these companies do not count with an innovation model, innovation management model, or innovation management system.",2016
